"manufacturer","Manufacturer Part #","Product Name","Product Description","Click-Out URL","Price","Category: Other Format","Category: NexTag Numeric ID","Image URL","Ground Shipping","Stock Status","Product Condition","Marketing Message","Weight","Cost-per-Click","UPC","Distributor ID","MUZE ID","ISBN"
"Louis Garneau","0701220PART","Louis Garneau Equipe Bib Short '11","Louis Garneau Equipe Bib Short combines great looks and functionality to perfection. As expected this 8 panel bib shorts are constructed with flat lock seams for comfort. Compressive fit reduces muscle fatigue. Also, this bib short is equipped with the ex","http://www.bicyclebuys.com/item/0701220PART/nt",99.99,"Bicycles > Bib (short & tight) > Bibs (short & tight)","","http://www.bicyclebuys.com/productimages/0701220PART.jpg","","Yes","New","","",.45,"","","",""
"Look","0486703PART","Look Keo 2 Max Road Pedal","The Kéo 2 MAX Road Clipless Pedal is one of the lightest pedals in its category. This has been achieved through the use of a carbon injection process allowing for weight reduction and improved durability.","http://www.bicyclebuys.com/item/0486703PART/nt",139.99,"Bicycles > Clipless Pedals > Road Clipless Pedals","","http://www.bicyclebuys.com/productimages/0486703PART.jpg","0.00","Yes","New","Free Shipping","",.45,"","","",""
"Vittoria","0603137PART","Vittoria Open Corsa Evo CX II 700c Tire","Vittoria Open Corsa Evo CX II 700x23 Tires.  Features the Kevlar® SiO2 3D compound with added silica for reduced rolling resistance and better grip in the wet. Corespun 320 tpi casing provides a lighter and more supple ride.  Lightweight at 230g, 320 tpi ","http://www.bicyclebuys.com/item/0603137PART/nt",59.99,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0603137.jpg","","Yes","New","","",.45,"","","",""
"Pedros","1736460","Pedro's Demi-Pro Mini Torque Wrench","Demi-Torque- Pedro’s Micrometer style torque wrench is now available in a smaller, compact size to address the increasing use of carbon on smaller, more delicate parts.  Perfect for stem and seat binder bolts.","http://www.bicyclebuys.com/item/1736460/nt",89.99,"Bicycles > Tools > Bicycle Tool Sets","","http://www.bicyclebuys.com/productimages/1736460.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Continental","0601542PART","Continental Touring Plus Reflex Tire","The Touring Plus is an excellent choice for any and every touring bicycle. Its balanced tread pattern has bikes rolling effortlessly down roads and paths, while its finely siped shoulder blocks provide surefooted grip in curves.And the Plus Breaker and hi","http://www.bicyclebuys.com/item/0601542PART/nt",29.7415,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0601542PART.jpg","","Yes","New","","",.45,"","","",""
"CatEye","0104646","CatEye Digital Heart Rate Chest Strap","CatEye Digital Heart Rate Strap. Replacement heart rate strap for your cateye V3 heart rate monitors.","http://www.bicyclebuys.com/item/0104646/nt",49.99,"Bicycles > Heart Rate Monitors > Heart Rate Monitors","","http://www.bicyclebuys.com/productimages/0104646.jpg","","Yes","New","New Low Price ","",.45,"","","",""
"Tri-Flow","1736509","Tri-Flow Refillable Pin Point Lubricator .25 oz","Tri-Flow® Superior Lubricant is a superior, light viscosity lube that allows for deep penetration into hard to reach moving parts. The single-drop precision of the Tri-Flow® Pin Point Lubricator features a pocket clip, protective see through cap. Best of ","http://www.bicyclebuys.com/item/1736509/nt",9.99,"Bicycles > Lubrication > Lubricants","","http://www.bicyclebuys.com/productimages/1736509.jpg","","Yes","New","","",.45,"","","",""
"Maxxis","0602084-24","Maxxis Hookworm 24 x 2.5 Black 24 Black","Maxxis Hookworm 24 x 2.5 Black. The original urban assault tire, designed to take the abuses of the most aggressive street riders.  Huge air-volume softens the drops, while the inverted tread design makes rolling resistance minimal.  Bead-to-bead tread pr","http://www.bicyclebuys.com/item/0602084-24/nt",29.99,"Bicycles > BMX Tires > Bmx Tires","","http://www.bicyclebuys.com/productimages/0602084.jpg","","Yes","New","","",.45,"","","",""
"Avenir","1799950N","Avenir Nylon MTB Bicycle Cover Black","Avenir Nylon Bicycle Cover. Large enough for Mountain bikes.  Sure Snap Button closer.  Comes with zippored storage bag.  Black color.","http://www.bicyclebuys.com/item/1799950N/nt",22.99,"Bicycles > Storage Systems > Indoor Storage","","http://www.bicyclebuys.com/productimages/1799950N.jpg","","Yes","New","","",.45,"","","",""
"Michelin","0603092N","Michelin Cyclo Cross Mud 2 700X30 Black Tire 700c Black","Michelin Cyclo Cross Mud 2 has a redesigned high density 127 tpi casing. Foldable bead skinwall. Racing compound,  Silicium tread compound. Specially designed tread pattern for maximum traction and cornering control in extra mud. This is an all black tire","http://www.bicyclebuys.com/item/0603092N/nt",29.99,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0603092N.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Michelin","0601469","Michelin C4 ProTek Max 26x1.85-2.30 Self-Sealing Tube Presta","Michelin C4 ProTek Max 26x1.85-2.30 Self-Sealing Tube Presta. Thanks to its uneven design, the MICHELIN Protek Max has a compression reaction in the event of piercing or nipping (the hole closes up naturally) whereas a classic inner tube has an extension ","http://www.bicyclebuys.com/item/0601469/nt",9.99,"Bicycles > Tubes > Tubes","","http://www.bicyclebuys.com/productimages/0601469.jpg","","Yes","New","","",.45,"","","",""
"Blackburn","0114531","Blackburn Mars 4.0 Flasher Taillight","The Mars 4.0 is Blackburn's brightest taillight. Featuring 1 Watt ultra-bright red LED in the center and 2 Amber side LEDs ensure 180 degree visibility. Versatile mounting option lets you install the light pretty much anywhere you want it. Being seen is o","http://www.bicyclebuys.com/item/0114531/nt",21.99,"Bicycles > LightSets > Tail Lights","","http://www.bicyclebuys.com/productimages/0114531.jpg","","Yes","New","","",.45,"","","",""
"Cycleops","0129973","Cycleops Climbing Riser Block"," The Cycleops Climbing Riser Block levels and stabilizes the front end of your bike when riding on a trainer. Three height adjustments create three different workout sensations.  Buy multiple blocks to create endless climbing scenarios.","http://www.bicyclebuys.com/item/0129973/nt",23.39,"Bicycles > Indoor Trainers > Indoor Trainers","","http://www.bicyclebuys.com/productimages/0129973.jpg","","Yes","New","","",.45,"","","",""
"CygoLite","0147048","CygoLite Expilion 350 USB Rechargeable Headlight","CygoLite Expilion 350 USB Rechargeable Headlight. State-of-the-Art Cree XPG LED technology supercharges the ExpiliOn's brightness while the quick release internal Li-Ion battery stick gives riders the complete package: brightness for the trails, compact s","http://www.bicyclebuys.com/item/0147048/nt",74.99,"Bicycles > LightSets > Head Lights","","http://www.bicyclebuys.com/productimages/0147048.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0701299PART","Louis Garneau Mondo Gloves","Louis Garneau Mondo Gloves have vented gel padding that is engineered to relieve pressure of the median and ulnar nerves, reduce shock, and offer superior ventilation. A seamless upper hand prevents irritation, relieves pressure points, and allows no bulg","http://www.bicyclebuys.com/item/0701299PART/nt",34.99,"Bicycles > Gloves > Cycling Gloves","","http://www.bicyclebuys.com/productimages/0701299PART.jpg","","Yes","New","","",.45,"","","",""
"Cannondale","1600013PART","Cannondale C Logo Barend Plugs","Cannondale C Logo Barend Plugs. The finishing touch on your Cannondale road bike, these plugs give a clean look to your bike's overall appearance. Color-matched to most Cannondale Framesets. Comes in a pair.","http://www.bicyclebuys.com/item/1600013PART/nt",8.99,"Bicycles > Handlebar Tape/Grips > Handlebar Tape / Grips","","http://www.bicyclebuys.com/productimages/1600013PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","1599907-93","Shimano CN-HG93 (Ultegra/Xt) 9/speed Chain","Shimano's HG 93 chain. Specifically designed to work with hyper glide cassettes. The width of this chain is designed for nine speed application.","http://www.bicyclebuys.com/item/1599907-93/nt",31.99,"Bicycles > Chains > Chains","","http://www.bicyclebuys.com/productimages/1599907-93.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"CatEye","0104638","Cat Eye V2/V3 Double Wireless 2nd Bike Kit","Cat Eye V2/V3 Double Wireless 2nd Bike Kit.Redefining elegance and power. The latest 2.4GHz digital data transmission virtually eliminates interference and cross-talk, while the large screen simultaneously displays speed, cadence, heart rate and time info","http://www.bicyclebuys.com/item/0104638/nt",74.99,"Bicycles > Cycle Computers > Cycle Computers","","http://www.bicyclebuys.com/productimages/0104638.jpg","","Yes","New","","",.45,"","","",""
"CatEye","0104641","Cat Eye Bracket Sensor kit For CC-CD100(N)/CC-CD200","Cat Eye Bracket Sensor kit For CC-CD100(N)/CC-CD200(Astrale Series).  Replacement mounts and brackets for wired Cat Eye computers with cadence.","http://www.bicyclebuys.com/item/0104641/nt",14.99,"Bicycles > Cycle Computers > Cycle Computers","","http://www.bicyclebuys.com/productimages/0104641.jpg","","Yes","New","","",.45,"","","",""
"Shimano","0414460-56","Shimano SPD Cleat SM-SH56","Shimano SPD Cleat SM-SH56 is the multi-release cousin of the famous SH51 Cleat. Giving you the freedom to release your foot in either inward or outward direction, these cleats are perfect for downhillers, freeriders and the most technical of cross country","http://www.bicyclebuys.com/item/0414460-56/nt",19.99,"Bicycles > Clipless Pedals > Mountain Clipless Pedals","","http://www.bicyclebuys.com/productimages/0414460-56.jpg","","Yes","New","","",.45,"","","",""
"Sram","1599950","Sram PC-1090R 10sp Hollow Pin Chain","SRAM PC 1090R 10-Speed Chain with Hollow Pin Riveting process and PowerLock™ Connecting Link. Provides a smooth, precise shifting and weight savings without sacrificing strength. Compatible with standard 10-Speed Systems. 5.9mm thick chain with easy to us","http://www.bicyclebuys.com/item/1599950/nt",54.99,"Bicycles > Chains > Chains","","http://www.bicyclebuys.com/productimages/1599947.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0790041PART","Louis Garneau Venti X-Lite Socks","The Louis Garneau Venti X-Lite Socks live up to their name.  Lightweight, comfortable socks with Louis Garneau's commitment to extreme foot ventilation.","http://www.bicyclebuys.com/item/0790041PART/nt",10.99,"Bicycles > Socks > Cycling Socks","","http://www.bicyclebuys.com/productimages/0790041PART.jpg","","Yes","New","","",.45,"","","",""
"Kryptonite","1729849","Kryptonite R4 Retractable Combo Cable Lock","Kryptonite R4 Retractable Combo Cable Lock.  Stainless steel cable recommended for accessory and quick release component lock-up. Features haevy-duty recoli function for reliable maximum performance.  Advanced ergonomic design for easy use.  Set your own ","http://www.bicyclebuys.com/item/1729849/nt",16.99,"Bicycles > Locks > Cable Locks","","http://www.bicyclebuys.com/productimages/1729849.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","PIXRPART","Pearl Izumi X-Road MTB/Spin Shoe","Pearl Izumi X-Road MTB/Spin Shoe.is a high value shoe for Spin class or Off-Road/Road cycling.  Work with SPD compatible cleats.","http://www.bicyclebuys.com/item/PIXRPART/nt",69.99,"Bicycles > Shoes > Spinning Shoes","","http://www.bicyclebuys.com/productimages/PIXRPART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","SHMT22PART","Shimano SH-MT22 All Terrain Shoe","The Shimano SH-MT22 All Terrain Shoe is an update to last year's incredibly popular SH-MT21.  With it's simple lace-up design, walkable tread, and recessed cleat area, this shoe is designed not only for MTBers, but spinners, weekend warriors, and aspiring","http://www.bicyclebuys.com/item/SHMT22PART/nt",49.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/SHMT22PART.jpg","","Yes","New","","",.45,"","","",""
"StopFlats 2","0600042PART","StopFlats 2 Tube Protection Tire Liner","StopFlats Tube Protection Tire Liner is the best protection against flats. STOP Flats2 is a remarkable tire liner made of durable, lightweight polyurethane. When inserted between the bike tire and tube, it provides a protective layer between road hazards ","http://www.bicyclebuys.com/item/0600042PART/nt",10.99,"Bicycles > Tubes > Tubes","","http://www.bicyclebuys.com/productimages/0600042PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0790195PART","Louis Garneau T-Cover (Toe Cover)","Louis Garneau T-Cover (Toe Cover) is somewhere in between a toe cover and a shoe cover. Constructed with Stopzone fabric, it's designed for moderate cold weather.","http://www.bicyclebuys.com/item/0790195PART/nt",19.99,"Bicycles > Winter Clothing Accessories > Winter Clothing / Accessories","","http://www.bicyclebuys.com/productimages/0790195PART.jpg","","Yes","New","","",.45,"","","",""
"Fizik","0114547PART","Fizik Seat Bag","Specifically designed for the Fizik clip in system.  Seat bag attaches to the seat.  Water resistant material and zipper.  Reflective safety patch.  Tail light holding strap.","http://www.bicyclebuys.com/item/0114547PART/nt",17.99,"Bicycles > Bags > Seat Bags","","http://www.bicyclebuys.com/productimages/0114547.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0750145PART","Louis Garneau Biogel RX Gloves","Louis Garneau Biogel RX Gloves are the best gloves on the market for the money. Excellent fit, quality materials, and ultimate attention to detail design make this glove rival many gloves double its price.","http://www.bicyclebuys.com/item/0750145PART/nt",16.99,"Bicycles > Gloves > Cycling Gloves","","http://www.bicyclebuys.com/productimages/0750145PART.jpg","","Yes","New","","",.45,"","","",""
"Avenir","0151018","Avenir Wicker Basket w/Velcro","Avenir Wicker Basket attaches easily with two velcro straps. Carrying handle to take on walks.","http://www.bicyclebuys.com/item/0151018/nt",12.99,"Bicycles > Bags > Handlebar Bags","","http://www.bicyclebuys.com/productimages/0151018.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0790149","Louis Garneau Matrix Balaclava","Louis Garneau Matrix Balaclava covers your entire head (except for your eyes) down to your neck with light knit fabric.","http://www.bicyclebuys.com/item/0790149/nt",19.99,"Bicycles > Winter Clothing Accessories > Winter Clothing / Accessories","","http://www.bicyclebuys.com/productimages/0790149.jpg","","Yes","New","","",.45,"","","",""
"Cannondale","0114622","Cannondale Hindsite Ultra Taillight","Cannondale Hindsite Ultra Taillight is visible from 900 meters away. This is achieved through a 1/2 watt ultra-bright red LED and two supplementary red LEDs encased in a durable and water resistant housing.","http://www.bicyclebuys.com/item/0114622/nt",19.99,"Bicycles > LightSets > Tail Lights","","http://www.bicyclebuys.com/productimages/0114622.jpg","","Yes","New","","",.45,"","","",""
"Continental","0601489PART","Continental 700x18-25 Race Light Presta Tube","Continental 700x18-25 Race Light Presta Tube. Conti's lightweight high performance presta valve tube. All Tubes are seamless and vulcanized to ensure uniform roundness. Each tube goes throught rigorous testing unparalled in the industry.","http://www.bicyclebuys.com/item/0601489PART/nt",7.6415,"Bicycles > Tubes > Tubes","","http://www.bicyclebuys.com/productimages/0601489PART.jpg","","Yes","New","","",.45,"","","",""
"Wald Manufacturing","0114910PART","Wald #582 Rear Folding Basket","The nimble Wald 582 rear folding basket is the perfect size and sturdy enough to carry a bag of groceries.","http://www.bicyclebuys.com/item/0114910PART/nt",17.99,"Bicycles > Bike Racks > Rack Bags","","http://www.bicyclebuys.com/productimages/0114910PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","1736331","Shimano Chain Tool TL-CN23","The Shimano TL-CN23 chain tool is recommended for use on all Shimano 10 speed chains. Also compatible with 8 and 9 speed chains.Features: Knurled handle for good grip. Rubber covered push pin. Compact design.","http://www.bicyclebuys.com/item/1736331/nt",19.99,"Bicycles > Tools > Drivetrain Tools","","http://www.bicyclebuys.com/productimages/1736331.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Jagwire","1407011PART","Jagwire Racer Road Cable Kit","Unyielding performance and powerful braking are the hallmarks of the Jagwire Racer Road Cable Kit. Designed specifically for road bikes the Racer kit will provide consistent & smooth shifting and amazingly powerful braking. The Racer kit features Jagwire'","http://www.bicyclebuys.com/item/1407011PART/nt",34.99,"Bicycles > Cables > Cables","","http://www.bicyclebuys.com/productimages/1407011PART.jpg","","Yes","New","","",.45,"","","",""
"Look","0790299PART","Look Pro Team Short Sleeve Jersey","Look Ultra Short Sleeve Jersey is a comfort fit, highly technical apparel that features modern and colorful graphics and many functional elements. The colors also match the 2010 Look frames.","http://www.bicyclebuys.com/item/0790299PART/nt",99.99,"Bicycles > Jerseys > Jerseys","","http://www.bicyclebuys.com/productimages/0790299PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0790333PART","Louis Garneau Massimo 2 Jacket","The ultimate in cold weather protection and cycling performance, the Louis Garneau Massimo 2 Jacket consists of a waterproof, breathable, and stretchable fabric. Yet the fit and comfort of this jacket are unprecedented with brushed inside and inserts on t","http://www.bicyclebuys.com/item/0790333PART/nt",149.99,"Bicycles > Jackets > Jackets","","http://www.bicyclebuys.com/productimages/0790333PART.jpg","","Yes","New","","",.45,"","","",""
"Bell","BEMU1PART","Bell Muni Urban Cycling Helmet","Bell Muni Urban Cycling Helmet. The all-new Muni takes the mantle of Bell urban helmets to a new level with outstanding functionality, great features, and well-mannered design and graphics. Visibility is a big part of the Muni story, with a pair of integr","http://www.bicyclebuys.com/item/BEMU1PART/nt",39.99,"Bicycles > Helmets > Sport Helmets","","http://www.bicyclebuys.com/productimages/BEMU1PART.jpg","","Yes","New","Discontinued Item ","",.45,"","","",""
"Sram","1010070","Sram PC1071 10-Speed Hollow Pin Chain","Sram PC1071 10-Speed Chain.  No weakest link. SRAM'S new Super Narrow 10-speed Power Chain features the PowerLock connecting link — the only secure toolless attachment device for a sub 6mm chain in todays market. SRAM PC1071R series chains also feature ho","http://www.bicyclebuys.com/item/1010070/nt",49.99,"Bicycles > Chains > Chains","","http://www.bicyclebuys.com/productimages/1010070.jpg","","Yes","New","","",.45,"","","",""
"Selle Italia","0921081","Selle Italia Shiver Gel Flow Saddle","Selle Italia Shiver Gel Flow Saddle. The Ample length of the shell and strengthened front offer greater freedom of movement for the benefit of rough terrain enthusiasts. The padding uses differentiated-thickness silicone gel pads.","http://www.bicyclebuys.com/item/0921081/nt",54.99,"Bicycles > Seats > Mountain Seats","","http://www.bicyclebuys.com/productimages/0921081.jpg","","Yes","New","","",.45,"","","",""
"Selle Italia","0921084PART","Selle Italia SLR Gel Flow Kit Carbonio Saddle","Selle Italia SLR Gel Flow Kit Carbonio Saddle. A saddle featuring a refined style, the Selle Italia SLR Gel Flow Saddle is a combination of the highest properties of carbon: its extraordinary lightness combines with high strength guaranteed by the stricte","http://www.bicyclebuys.com/item/0921084PART/nt",129.99,"Bicycles > Seats > Road Seats","","http://www.bicyclebuys.com/productimages/0921084PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","1011072","Shimano 105 Tension & Guide Pulley Set","Shimano 105 Tension & Guide Pulley Set.  Breathe new life into your drivetrain with new pulley wheels.  The most precise shifters and derailler in the world wont shift well if theres slop in the pulley bearings.","http://www.bicyclebuys.com/item/1011072/nt",9.99,"Bicycles > Rear Derailleur > Rear Derailleur","","http://www.bicyclebuys.com/productimages/1011072.jpg","","Yes","New","","",.45,"","","",""
"Hutchinson","0603210PART","Hutchinson Cobra Tubeless Ready 26x2.10 Tire","Hutchinson Cobra Tubeless Ready 26x2.10 Tire. Multiple knobs to optimise the traction on dry trails. Low knobs on top for efficiency and low rolling resistance. High lateral knobs: excellent grip that holds its line in turns. Sidewalls are snakeskin for a","http://www.bicyclebuys.com/item/0603210PART/nt",39.99,"Bicycles > ATB Tires > Mountain Tires","","http://www.bicyclebuys.com/productimages/0603210PART.jpg","","Yes","New","","",.45,"","","",""
"CatEye","0114156","CatEye Orbit Spoke Light Set","Join the revolution in side-visibility design with the new CatEye Orbit. This lightweight, spoke-mounted LED projects light in virtually all directions. This unique placement creates eyecatching movement when you ride that will stop traffic, letting you m","http://www.bicyclebuys.com/item/0114156/nt",19.99,"Bicycles > LightSets > Light Sets","","http://www.bicyclebuys.com/productimages/0114156.jpg","","Yes","New","","",.45,"","","",""
"Look","0790379PART","Look ProTeam Long Sleeve Jersey","The Pro Team collection was designed for all levels of riders. All the fabrics used are elastic so that the garment fits close to the body, providing freedom of movement for greater comfort. All these products provide good protection and excellent ventila","http://www.bicyclebuys.com/item/0790379PART/nt",99.99,"Bicycles > Jerseys > Jerseys","","http://www.bicyclebuys.com/productimages/0790379PART.jpg","","Yes","New","","",.45,"","","",""
"Mavic","0603103","Mavic Lightweight Butyl Tube 700x21-25c 48mm Valve","Mavic Lightwieght inner tube uses 1 mm thick butyl with a 48 mm valve in stealthy anodized black for a low-key look. Black valve cover. Weighs 97g.","http://www.bicyclebuys.com/item/0603103/nt",7.99,"Bicycles > Tubes > Tubes","","http://www.bicyclebuys.com/productimages/0603103.jpg","","Yes","New","","",.45,"","","",""
"Mavic","0150150","Mavic ErgoLite Ratchet Strap and Buckle Kit 9 Yellow","Low profile, lightweight ratchet with highly precise adjustment. Ergonomically designed release mechanism that prevents accidental opening. Ergo Ride.","http://www.bicyclebuys.com/item/0150150/nt",16.99,"Bicycles > Shoes > Road Shoes","","http://www.bicyclebuys.com/productimages/0150150.jpg","","Yes","New","","",.45,"","","",""
"Campagnolo","1011077","Campagnolo Spoke Holder/Spoke End Guide","Campagnolo Spoke Holder/Spoke End Guide is for inserting new spoke nipples into a deep-dish rim via a strong magnet and holding bladed spokes when building/truing a new wheel.","http://www.bicyclebuys.com/item/1011077/nt",19.99,"Bicycles > Tools > Wheels / Rims Tools","","http://www.bicyclebuys.com/productimages/1011077.jpg","","Yes","New","","",.45,"","","",""
"Shimano","SHMT33LPART","Shimano SH-MT33L All Terrain Shoe","Shimano SH-MT33L All Terrain Shoe.  The MT Series lines up with a wide range of life and riding styles. MT shoes are designed to be at home off-road but totally in place on the pavement, too. On or off your bike, Mountain Touring offers comfort along with","http://www.bicyclebuys.com/item/SHMT33LPART/nt",69.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/SHMT33PART.jpg","","Yes","New","","",.45,"","","",""
"Mavic","0603111","Mavic Dismountable UST Presta Valve for Tubeless Wheels","Mavic Dismountable UST valve with removable valve core to enable the use of preventive or anti puncture sealant, without messing around. Change your UST valves once a year to ensure the sealing of your UST systems.","http://www.bicyclebuys.com/item/0603111/nt",9.99,"Bicycles > Tire Tools > Tire tools","","http://www.bicyclebuys.com/productimages/0603111.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","LGVO1PART","Louis Garneau Vorttice Aero Helmet","The Louis Garneau Vorttice is arguably the most advanced aerodynamic helmet on the market today. Unlike any other aero helmet produced, it has a dimpled (think golf ball) technology beginning at the front of the helmet that causes air to flow more closely","http://www.bicyclebuys.com/item/LGVO1PART/nt",219.99,"Bicycles > Helmets > Road Helmets","","http://www.bicyclebuys.com/productimages/LGVO1PART.jpg","0.00","Yes","New","Free Shipping","",.45,"","","",""
"Pearl Izumi","PIXAS4PART","Pearl Izumi X-Alp Seek IV MTB/Spin/Touring Shoe","Pearl Izumi X-Alp Seek IV MTB/Spin/Touring Shoe.  Pearl Izumi's popular multisport shoes get a few upgrades and a nice face lift for the new year.  The sole has been upgraded to give you better on and off the bike comfort.  Creature comforts like the lace","http://www.bicyclebuys.com/item/PIXAS4PART/nt",84.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/PIXAS4PART.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","0790440PART","Pearl Izumi P.R.O. In-R-Cool Short","Pearl Izumi P.R.O. In-R-Cool Short provides Pearl Izumi’s legendary fit, performance, and durability. The comfort of this classic style is further optimized with the addition of In-R-Cool® technology and fast- drying Transfer Minerale™ technology.","http://www.bicyclebuys.com/item/0790440PART/nt",119.99,"Bicycles > Shorts > Cycle Shorts","","http://www.bicyclebuys.com/productimages/0790440PART.jpg","","Yes","New","","",.45,"","","",""
"Sunlite","0750116","HeadSweats CoolMax Skull Cap Black","The HeadSweats CoolMax Skull Cap is The second generation of an underthe-helmet classic; works equally well as an everyday winter beanie. Eventure™ Fleece upper with three layer COOLMAX® Fabric sweatbandThe ultimate moisture management winter hatLow profi","http://www.bicyclebuys.com/item/0750116/nt",12.99,"Bicycles > Hats > Cycle Hats/Caps","","http://www.bicyclebuys.com/productimages/0750116.jpg","","Yes","New","","",.45,"","","",""
"Haro","0404844PART","Haro Recycled Pedals","Haro Recycled Pedals. Go green with these pedals made from recycled plastic.","http://www.bicyclebuys.com/item/0404844PART/nt",14.99,"Bicycles > Regular Pedals > Bmx / Adult Standard Pedals","","http://www.bicyclebuys.com/productimages/0404844PART.jpg","","Yes","New","","",.45,"","","",""
"Crank Brothers","0402069PART","Crank Brothers Egg Beater 3 Clipless Pedals","Crank Brothers Egg Beater 3 Clipless Pedals.  Taking the lightweight design of the Egg Beater 1 a step further, these pedals feature the same minimalist design but with a stronger body and smoother bearing system so you can ride harder and longer.","http://www.bicyclebuys.com/item/0402069PART/nt",94.99,"Bicycles > Clipless Pedals > Mountain Clipless Pedals","","http://www.bicyclebuys.com/productimages/0402069PART.jpg","0.00","Yes","New","Free Shipping","",.45,"","","",""
"Shimano","1428224PART","Shimano Altus ST-EF51 7sp Shifter/Lever Set","The Shimano Altus ST-EF51 Shifter/Lever is a lightweight set of integrated shifters/levers.  Integrate these into your 7-speed and make the front end a little lighter and huck through the woods.","http://www.bicyclebuys.com/item/1428224PART/nt",34.99,"Bicycles > Shifter/Levers > Mountain Shifters","","http://www.bicyclebuys.com/productimages/1428224PART.jpg","","Yes","New","","",.45,"","","",""
"Cannondale","0710151PART","Cannondale X L.E. Bib Shorts","Cannondale X L.E. Bib Shorts use multi sized fabric technology that offers superior wicking and natural compression.  X L.E. chamois has multi layers for a more comfortable form fit, better wicking, and cooler ride..","http://www.bicyclebuys.com/item/0710151PART/nt",134.99,"Bicycles > Bib (short & tight) > Bibs (short & tight)","","http://www.bicyclebuys.com/productimages/0710151PART.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","PIARPART","Pearl Izumi All-Road MTB/Spin Shoe","Nomenclature was never the top priority in the cycling industry.  With the All-Road, quality and affordability are oviously what's important in the minds of the folks over at Pearl Izumi.  These new mountain shoes from PI offer superior power transfer and","http://www.bicyclebuys.com/item/PIARPART/nt",74.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/PIARPART.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","0790463PART","Pearl Izumi P.R.O. Cycling Sock","Pearl Izumi P.R.O. Sock.  The first run sock with industry leading Minerale™ yarn combines strategic cushioning and compression fit bands to make the ultimate run sock.","http://www.bicyclebuys.com/item/0790463PART/nt",12.99,"Bicycles > Socks > Cycling Socks","","http://www.bicyclebuys.com/productimages/0790463PART.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","PIWARPART","Pearl Izumi Women's All-Road MTB/Spin Shoe","Nomenclature was never the top priority in the cycling industry.  With the All-Road, quality and affordability are oviously what's important in the minds of the folks over at Pearl Izumi.  These new mountain shoes from PI offer superior power transfer and","http://www.bicyclebuys.com/item/PIWARPART/nt",74.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/PIWARPART.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","0790451PART","Pearl Izumi Women's Sugar Short '11","An ideal companion for indoor cycling class, the Pearl Izumi Women's Sugar Short features a 5 inseam and the supremely comfortable Women’s Tour 3D Chamois®","http://www.bicyclebuys.com/item/0790451PART/nt",44.99,"Bicycles > Shorts > Cycle Shorts","","http://www.bicyclebuys.com/productimages/0790451PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0790188PART","Louis Garneau Hat Cover","Louis Garneau Hat Cover is a tight fitting hat that can be worn with or without a helmet.  Made of Wind-Tex/HeatMaxx material for excellent cold weather protection.","http://www.bicyclebuys.com/item/0790188PART/nt",17.99,"Bicycles > Winter Clothing Accessories > Winter Clothing / Accessories","","http://www.bicyclebuys.com/productimages/0790188PART.jpg","","Yes","New","","",.45,"","","",""
"Curb Dog","0255571PART","Curb Dog Nylon Slider Pegs","Curb Dog Slider - Super hard and durable nylon composite, very low friction, smooth surface, anti rotation nut with 6 rotatable positions fits into dropout slot, 1-1/2x4, 14mm mounting hole with 3/8 adapter uses axle nut for installation, lightweight 90g.","http://www.bicyclebuys.com/item/0255571PART/nt",14.99,"Bicycles > BMX Accessories > BMX Accessories","","http://www.bicyclebuys.com/productimages/0255571PART.jpg","","Yes","New","","",.45,"","","",""
